;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 04/12/2013 8:55:45 SA
;----------------------------------------------

;Address Opcode 	ASM
0x01B6	0x8481      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x01B8	0xB560      	BTFSC       FARG_Lcd_Cmd_out_char, 2, 1
0x01BA	0xD002      	BRA         L__Lcd_Cmd33
0x01BC	0x9681      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x01BE	0xD001      	BRA         L__Lcd_Cmd34
L__Lcd_Cmd33:
0x01C0	0x8681      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x01C2	0xB360      	BTFSC       FARG_Lcd_Cmd_out_char, 1, 1
0x01C4	0xD002      	BRA         L__Lcd_Cmd35
0x01C6	0x9881      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x01C8	0xD001      	BRA         L__Lcd_Cmd36
L__Lcd_Cmd35:
0x01CA	0x8881      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x01CC	0xB160      	BTFSC       FARG_Lcd_Cmd_out_char, 0, 1
0x01CE	0xD002      	BRA         L__Lcd_Cmd37
0x01D0	0x9A81      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x01D2	0xD001      	BRA         L__Lcd_Cmd38
L__Lcd_Cmd37:
0x01D4	0x8A81      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x01D6	0xB041      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01D8	0xD002      	BRA         L__Lcd_Cmd39
0x01DA	0x8E81      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x01DC	0xD001      	BRA         L__Lcd_Cmd40
L__Lcd_Cmd39:
0x01DE	0x9E81      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x01E0	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,41 :: 		
0x01E2	0xDFA9      	RCALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x01E4	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,44 :: 		
0x01E6	0xA041      	BTFSS       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01E8	0xD002      	BRA         L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x01EA	0xDFAB      	RCALL       _Delay_5500us
0x01EC	0xD001      	BRA         L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x01EE	0xDF9E      	RCALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x01F0	0x0012      	RETURN      0
; end of _Lcd_Cmd
__Lib_Mmc_Mmc_DeSelect:
;__Lib_Mmc.c,67 :: 		
;__Lib_Mmc.c,69 :: 		
0x01F2	0x848B      	BSF         Mmc_Chip_Select, BitPos(Mmc_Chip_Select+0) 
;__Lib_Mmc.c,73 :: 		
0x01F4	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x01F8	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x01FC	0x0EFF      	MOVLW       255
0x01FE	0x6EE6      	MOVWF       POSTINC1 
0x0200	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0204	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0208	0xDFA7      	RCALL       _____DoIFC
;__Lib_Mmc.c,74 :: 		
L_end_Mmc_DeSelect:
0x020A	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_DeSelect
__Lib_Mmc_Mmc_Send_Command:
;__Lib_Mmc.c,77 :: 		
;__Lib_Mmc.c,81 :: 		
0x020C	0x0E40      	MOVLW       64
0x020E	0x0104      	MOVLB       4
0x0210	0x2560      	ADDWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 0, 1
0x0212	0x6E00      	MOVWF       R0 
0x0214	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0218	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x021C	0xFFE6C000  	MOVFF       R0, POSTINC1
0x0220	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0224	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0228	0xDF97      	RCALL       _____DoIFC
;__Lib_Mmc.c,82 :: 		
0x022A	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x022E	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0232	0xFFE6C464  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, POSTINC1
0x0236	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x023A	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x023E	0xDF8C      	RCALL       _____DoIFC
;__Lib_Mmc.c,83 :: 		
0x0240	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0244	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0248	0xFFE6C463  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, POSTINC1
0x024C	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0250	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0254	0xDF81      	RCALL       _____DoIFC
;__Lib_Mmc.c,84 :: 		
0x0256	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x025A	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x025E	0xFFE6C462  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, POSTINC1
0x0262	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0266	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x026A	0xDF76      	RCALL       _____DoIFC
;__Lib_Mmc.c,85 :: 		
0x026C	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0270	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0274	0xFFE6C461  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_content, POSTINC1
0x0278	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x027C	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0280	0xDF6B      	RCALL       _____DoIFC
;__Lib_Mmc.c,86 :: 		
0x0282	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0286	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x028A	0xFFE6C465  	MOVFF       FARG___Lib_Mmc_Mmc_Send_Command_crc, POSTINC1
0x028E	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0292	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0296	0xDF60      	RCALL       _____DoIFC
;__Lib_Mmc.c,89 :: 		
0x0298	0x0104      	MOVLB       4
0x029A	0x6B67      	CLRF        __Lib_Mmc_Mmc_Send_Command_timeout_L0, 1
0x029C	0x6B68      	CLRF        __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 1
;__Lib_Mmc.c,90 :: 		
L___Lib_Mmc_Mmc_Send_Command0:
;__Lib_Mmc.c,91 :: 		
0x029E	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x02A2	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x02A6	0x0EFF      	MOVLW       255
0x02A8	0x6EE6      	MOVWF       POSTINC1 
0x02AA	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x02AE	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x02B2	0xDF52      	RCALL       _____DoIFC
0x02B4	0xF466C000  	MOVFF       R0, __Lib_Mmc_Mmc_Send_Command_response_L0
;__Lib_Mmc.c,92 :: 		
0x02B8	0x0104      	MOVLB       4
0x02BA	0x4B67      	INFSNZ      __Lib_Mmc_Mmc_Send_Command_timeout_L0, 1, 1
0x02BC	0x2B68      	INCF        __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 1, 1
;__Lib_Mmc.c,93 :: 		
0x02BE	0x0E80      	MOVLW       128
0x02C0	0x1400      	ANDWF       R0, 0 
0x02C2	0x6E01      	MOVWF       R1 
0x02C4	0x5001      	MOVF        R1, 0 
0x02C6	0x0A00      	XORLW       0
0x02C8	0xE007      	BZ          L___Lib_Mmc_Mmc_Send_Command75
0x02CA	0x0E00      	MOVLW       0
0x02CC	0x5D68      	SUBWF       __Lib_Mmc_Mmc_Send_Command_timeout_L0+1, 0, 1
0x02CE	0xE102      	BNZ         L___Lib_Mmc_Mmc_Send_Command80
0x02D0	0x0E64      	MOVLW       100
0x02D2	0x5D67      	SUBWF       __Lib_Mmc_Mmc_Send_Command_timeout_L0, 0, 1
L___Lib_Mmc_Mmc_Send_Command80:
0x02D4	0xE201      	BC          L___Lib_Mmc_Mmc_Send_Command75
0x02D6	0xD7E3      	BRA         L___Lib_Mmc_Mmc_Send_Command0
L___Lib_Mmc_Mmc_Send_Command75:
;__Lib_Mmc.c,95 :: 		
0x02D8	0xF000C466  	MOVFF       __Lib_Mmc_Mmc_Send_Command_response_L0, R0
;__Lib_Mmc.c,96 :: 		
L_end_Mmc_Send_Command:
0x02DC	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_Send_Command
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x02DE	0x9041      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,53 :: 		
0x02E0	0xF460C45B  	MOVFF       FARG_Lcd_Chr_CP_out_char, FARG_Lcd_Cmd_out_char
0x02E4	0xDF47      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x02E6	0x8041      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x02E8	0x0012      	RETURN      0
; end of _Lcd_Chr_CP
__Lib_Mmc_Mmc_UnIdle:
;__Lib_Mmc.c,98 :: 		
;__Lib_Mmc.c,102 :: 		
0x02EA	0x0104      	MOVLB       4
0x02EC	0x6B5C      	CLRF        __Lib_Mmc_Mmc_UnIdle_cnt_L0, 1
0x02EE	0x6B5D      	CLRF        __Lib_Mmc_Mmc_UnIdle_cnt_L0+1, 1
L___Lib_Mmc_Mmc_UnIdle5:
0x02F0	0x0E27      	MOVLW       39
0x02F2	0x5D5D      	SUBWF       __Lib_Mmc_Mmc_UnIdle_cnt_L0+1, 0, 1
0x02F4	0xE102      	BNZ         L___Lib_Mmc_Mmc_UnIdle82
0x02F6	0x0E10      	MOVLW       16
0x02F8	0x5D5C      	SUBWF       __Lib_Mmc_Mmc_UnIdle_cnt_L0, 0, 1
L___Lib_Mmc_Mmc_UnIdle82:
0x02FA	0xB0D8      	BTFSC       STATUS, 0 
0x02FC	0xD09A      	BRA         L___Lib_Mmc_Mmc_UnIdle6
;__Lib_Mmc.c,103 :: 		
0x02FE	0x0E00      	MOVLW       0
0x0300	0x0A00      	XORLW       0
0x0302	0xE102      	BNZ         L___Lib_Mmc_Mmc_UnIdle83
0x0304	0x0E00      	MOVLW       0
0x0306	0x195B      	XORWF       FARG___Lib_Mmc_Mmc_UnIdle_ctype, 0, 1
L___Lib_Mmc_Mmc_UnIdle83:
0x0308	0xE115      	BNZ         L___Lib_Mmc_Mmc_UnIdle8
;__Lib_Mmc.c,104 :: 		
0x030A	0xDF32      	RCALL       __Lib_Mmc_Mmc_Select
